wr_1,wr_2,wr_3,ww_1,ww_2,ww_3,rr_1,rr_2,rr_3,rw_1,rw_2,rw_3,nf_1,nf_2,nf_3,ns_1,ns_2,ns_3,nsf_1,nsf_2,nsf_3,nif_1,nif_2,nif_3,pr_1,pr_2,pr_3
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.99,3.99,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.99,4.99,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.99,1.99,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.99,2.99,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.99,2.99,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.99,2.99,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1.99,3.99,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.99,3.99,0
